"Source:","C:\Users\Cyril\OneDrive - Gymnasium Lerbermatt\MA\SAP-Extended\SAP-Extended\SAP-Extended.kicad_sch"
"Date:","19.07.2023 22:45:41"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","399"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"D66","1","RI_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D67","1","RI_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D68","1","RI_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D69","1","RI_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D70","1","RI_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D71","1","RI_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D72","1","RI_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D73","1","RI_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D74","1","IRD_7","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D75","1","IRD_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D76","1","IRD_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D77","1","IRD_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D78","1","IRD_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D79","1","IRD_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D80","1","IRD_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D81","1","IRD_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D83","1","IRI_6","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D84","1","IRI_5","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D85","1","IRI_4","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D86","1","IRI_3","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D87","1","IRI_2","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D88","1","IRI_1","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D89","1","IRI_0","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"D121","1","STPS745","D_Schottky","Package_TO_SOT_THT:TO-220-2_Horizontal_TabDown","Schottky diode","",""
